Date,AVUV,BIL,DFSVX,DXY,EFV,FBTC,FGBPX,FIKQX,FIWDX,FRDM,FSRIX,IMCB,JBND,JIVE,JMSFX,JMSIX,JPIE,MGK,MGV,MTUM,NERYX,PIMIX,SPHB,VEU,VFINX,VIX,VOO,WOBDX,XLF,XLG,XLRE,XLV
1977-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,
1977-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
1977-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,
1977-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,,,,
1977-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,,,,
1977-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,,,,
1977-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,
1977-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,
1977-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,
1977-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,
1977-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,
1977-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,
