Date,VOO Benchmark,A1V12 Tactical Sleeve,MWM Aggressive,MWM Balanced,MWM Conservative,MWM Growth,MWM Growth Plus,MWM Moderate,MWM Ultra Aggressive,Tactical Aggressive,Tactical Balanced,Tactical Conservative,Tactical Growth,Tactical Growth Plus,Tactical Moderate,Tactical Ultra Aggressive
2018-08-20,261623.8597953049,273937.68029012845,217345.8459628913,174769.66228005415,152863.30928682635,205335.804394881,211294.6829468538,198533.82357107746,230052.3480786925,222610.31377683327,177431.8132085824,154289.0669880464,209806.12829930635,216155.29166856458,202679.376550256,235188.99613908754
2018-08-21,262192.14246692037,274775.9716287453,217980.89741753548,175092.94610577324,153025.26441291877,205866.22823429064,211876.27679877612,199057.9657525722,230919.8956979729,223365.922361502,177810.53267875704,154478.88647132702,210436.21157851198,216846.71623056938,203295.2415103279,236186.92970997834
2018-08-22,262112.3916704695,275371.52644917177,218048.500710102,175193.20090389394,153112.5229574625,205935.9427582033,211945.00670293625,199172.41169697483,231054.34370913415,223709.25607371368,178044.53362405492,154635.88066994573,210736.98136431703,217168.33883880833,203623.71440034415,236594.54150010893
2018-08-23,261733.57107274234,275040.6405730106,217531.53469603418,174966.59187355178,152993.69409818616,205501.94396890522,211470.42772819757,198811.73574840048,230497.5799903957,223138.94089091945,177797.6666520586,154507.23479406533,210259.4309653645,216645.45658142178,203228.44723718864,235914.13149636154
2018-08-24,263378.42909224925,277180.45464205585,218659.45557369004,175460.46698995837,153246.9299045362,206446.90396204914,212504.8769122644,199605.0264945447,231737.0759328498,224551.56600979762,178419.3394196443,154825.44331956602,211440.3779718672,217939.6224366671,204231.08100529126,237529.8948080572
2018-08-27,265362.2236820871,279518.7869845766,220142.49187507838,176107.15031216352,153543.35365155354,207675.64112716925,213857.92024940133,200690.27555728075,233422.81428907035,226139.46091909418,179109.60693393627,155141.9348452443,212753.15259185975,219386.75534069116,205393.85092479986,239283.75215145358
2018-08-28,265511.7326952128,279651.11041319167,220189.2306611197,176021.93111109018,153455.88794299317,207698.72149420212,213892.5062212522,200610.36821292195,233428.84657281087,226235.00395334003,179043.44623790117,155064.2185048043,212816.54608059712,219465.78540483565,205345.0008216963,239397.87715400886
2018-08-29,266967.14589917305,282408.6325990915,221221.11411150306,176471.91869746076,153660.7513052189,208552.44723218927,214833.28597314956,201368.246060643,234764.67301739476,227701.93842679754,179699.58067018187,155374.33772052565,214031.39270439598,220803.70807891988,206439.36472232247,241078.84382577156
2018-08-30,265880.6642632134,281614.4269829776,220088.45692830416,175950.31260946736,153368.56454549325,207595.87904971163,213790.6220320165,200560.76228928563,233496.7406561886,226668.6448535256,179232.19654722532,155111.97109481783,213160.4390585453,219853.4570605998,205714.09596053677,239897.43408757646
2018-08-31,265890.60506796464,281945.33494617406,220184.81637827304,176189.1563613685,153660.4503321696,207739.45030368966,213911.35083179703,200723.5643456922,233644.0559683589,226830.79898714743,179508.2303074581,155424.17268742394,213360.44930548215,220035.24158534734,205933.68150117196,240041.8605968837
2018-09-04,265521.7425333304,281349.6917776063,219290.28843653522,175727.38728693358,153342.65097750272,206960.65450508762,213075.86338559547,200086.55807634976,232413.30131746817,225945.65359068924,179050.5029633195,155109.344353573,212591.0005360505,219209.16764721152,205300.60326274866,238938.38715401644
