Date,Model,Asset,Internal_Asset,Price_Basis,Shares,Price,Position_Value,Dividend_Per_Share,Dividend_Income,Year,Month
2011-05-31,MWM Aggressive,JBND,JBND,Adjusted Close,40.69786971765459,36.11481743841541,1469.7961349855104,0.1898596967657346,7.726885203605274,2011,2011-05
2011-05-31,MWM Aggressive,PIMIX,PIMIX,Adjusted Close,620.4890811664359,4.581244468688965,2842.6121709756326,0.055,34.12689946415397,2011,2011-05
2011-06-08,MWM Aggressive,AVUV,AVUV,Adjusted Close,260.4574693039284,23.15297670875797,6030.365720415898,0.03879013672469405,10.103180845267186,2011,2011-06
2011-06-17,MWM Aggressive,XLF,XLF,Adjusted Close,196.40433186114058,9.182210922241211,1803.4260011908525,0.043054,8.455992103949546,2011,2011-06
2011-06-17,MWM Aggressive,XLG,XLG,Adjusted Close,3684.7715334858085,7.078236103057861,26081.68289983913,0.0472,173.92121638053015,2011,2011-06
2011-06-17,MWM Aggressive,XLV,XLV,Adjusted Close,124.3195520616408,27.016630172729492,3358.69536128874,0.17,21.13432385047894,2011,2011-06
2011-06-23,MWM Aggressive,IMCB,IMCB,Adjusted Close,318.2728803162327,17.83820343017578,5677.416385388949,0.0685,21.801692301661944,2011,2011-06
2011-06-24,MWM Aggressive,VOO,VOO,Adjusted Close,333.61010009099186,88.58,29551.18266606006,0.57,190.15775705186536,2011,2011-06
2011-06-30,MWM Aggressive,JBND,JBND,Adjusted Close,40.69786971765459,36.03688926349498,1466.624624275264,0.17959701045407328,7.309215733140124,2011,2011-06
2011-06-30,MWM Aggressive,PIMIX,PIMIX,Adjusted Close,620.4890811664359,4.530791282653809,2811.3065199307594,0.053,32.8859213018211,2011,2011-06
2011-07-29,MWM Aggressive,JBND,JBND,Adjusted Close,40.69786971765459,36.611584202007656,1490.0134840102485,0.17446566729824262,7.100380997907549,2011,2011-07
2011-07-29,MWM Aggressive,PIMIX,PIMIX,Adjusted Close,620.4890811664359,4.572138786315918,2836.962194486587,0.053,32.8859213018211,2011,2011-07
2011-08-31,MWM Aggressive,JBND,JBND,Adjusted Close,40.69786971765459,37.068394546999144,1508.6046919163891,0.18472835360990392,7.518050468372698,2011,2011-08
2011-08-31,MWM Aggressive,PIMIX,PIMIX,Adjusted Close,620.4890811664359,4.517193794250488,2802.869426845212,0.053,32.8859213018211,2011,2011-08
2011-09-08,MWM Aggressive,AVUV,AVUV,Adjusted Close,260.4574693039284,20.198879969738357,5260.949159691862,0.06051261329052271,15.760962118616808,2011,2011-09
2011-09-16,MWM Aggressive,XLF,XLF,Adjusted Close,196.40433186114058,7.992131233215332,1569.6891950062109,0.040617,7.977354747203947,2011,2011-09
