Date,A1V12,EffectiveHolding,MGK Buy Hold,MGV Buy Hold,VOO Benchmark,BIL Buy Hold
2014-12-02,214770.30112310173,MGK,181099.37982797145,172330.34480139115,176471.47450204715,99742.6599445305
2014-12-03,215634.63595913703,MGK,181828.20733322314,172949.67291339178,177149.83099334632,99742.6599445305
2014-12-04,215477.52922575217,MGK,181695.7312327846,172808.91391334936,176973.26087014674,99742.6599445305
2014-12-05,215529.80176927324,MGK,181739.80867349307,173315.57164029253,177289.17486732863,99764.49467062342
2014-12-08,213827.399153573,MGK,180304.30266400942,172245.863552947,176081.21155649817,99764.49467062342
2014-12-09,214220.37248905064,MGK,180635.66704247223,171711.1028507862,175941.8331658267,99742.6599445305
2014-12-10,210815.41582283878,MGK,177764.52733010278,168980.5907814056,173182.15483720764,99742.6599445305
2014-12-11,211705.94888123925,MGK,178515.44579391862,169881.39381279325,173990.58747146008,99742.6599445305
2014-12-12,208824.81899432058,MGK,176086.00916792193,166869.44990472344,171165.82792550296,99764.49467062342
2014-12-15,207122.4439122224,MGK,174650.52637542045,165658.9971775681,169976.43459341972,99720.90780841808
2014-12-16,204843.70793809037,MGK,172729.04249450687,164673.7846988993,168666.31914113503,99720.90780841808
2014-12-17,209086.77368437027,MGK,176306.8955365816,167826.44452631372,172067.1449701806,99720.90780841808
2014-12-18,213225.01900758743,MGK,179796.3615274174,170922.8840430603,175198.55078229055,99742.6599445305
2014-12-19,214220.37248905067,MGK,180635.66704247223,171795.5266582999,176006.86260813108,99720.90780841808
2014-12-22,214822.6838010311,MGK,181143.5501366087,172527.45335419493,176787.4402742627,99720.90780841808
2014-12-23,214691.74775640934,MGK,181033.1417777522,173174.87008118056,177056.80851616463,99720.90780841808
2014-12-24,214796.4469014166,MGV,181099.37982797145,173259.32260915948,177038.32482914024,99742.6599445305
2014-12-26,214970.89800189718,MGV,182004.87695928113,173400.03852850408,177614.35659553958,99720.90780841808
2014-12-29,215005.7561766845,MGV,182358.26264536154,173428.1558639543,177865.32744213988,99720.90780841808
2014-12-30,213599.59291160444,MGK,181165.6178781907,172780.73913696868,176898.87740509055,99720.90780841808
2014-12-31,211620.6390544065,MGK,179487.1577584654,170838.4745957792,175059.0860998963,99742.6599445305
2015-01-02,211099.83074828296,MGK,179045.43145511043,170782.1537634831,175059.0860998963,99720.90780841808
2015-01-05,207610.58481298626,MGK,176086.00916792193,167910.9401349905,171983.4592574062,99742.6599445305
2015-01-06,205501.46993951494,MGK,174297.15229783117,166306.41390455372,170292.43488232442,99720.90780841808
2015-01-07,208157.4253223645,MGK,176549.81482134995,168079.78775001795,172420.21618320147,99720.90780841808
2015-01-08,211776.95545470706,MGK,179619.7383353238,171091.8034592508,175449.36630378984,99720.90780841808
2015-01-09,210058.28256979838,MGK,178162.03689085605,169628.05058908905,173971.9657176792,99720.90780841808
2015-01-12,208391.79727217156,MGK,176748.59862295436,168614.69205450485,172680.36846910804,99720.90780841808
2015-01-13,208131.3657456048,MGK,176527.7122542947,167910.9401349905,172225.11059794383,99720.90780841808
2015-01-14,207115.8634571274,MGK,175666.40864860447,166841.23204764497,171212.27013071557,99720.90780841808
2015-01-15,204798.39515035116,MGK,173700.83571849132,165574.53028935654,169614.07839102525,99720.90780841808
2015-01-16,207402.28612669135,MGK,175909.33954186394,167854.64802315962,171714.05649881516,99720.90780841808
2015-01-20,208339.7328656622,MGK,176704.43992280817,167939.05747044072,172141.442143514,99720.90780841808
2015-01-21,209433.34545065614,MGK,177631.99318720875,168755.39361361682,173042.81096322532,99742.6599445305
2015-01-22,212870.58172645347,MGK,180547.30320821548,171148.09557108168,175690.96586929375,99720.90780841808
2015-01-23,212401.8378268393,MGK,180149.7356050067,169768.76650843365,174724.58486562266,99742.6599445305
2015-01-26,213000.75642947937,MGK,180657.711567072,170134.69395579962,175068.44012264814,99742.6599445305
2015-01-27,210162.45244307458,MGK,178250.3891166217,167713.83158218674,172773.28739622232,99742.6599445305
2015-01-28,208261.56782213566,MGK,176638.14383013343,164786.35456232846,170496.82545695567,99720.90780841808
2015-01-29,210422.82922263135,MGK,178471.22905131697,166193.7722399615,172150.7271328876,99720.90780841808
2015-01-30,208626.15553522613,MGK,176947.37081606765,163519.60972334223,170032.19630469504,99720.90780841808
2015-02-02,210579.0908759219,MGK,178603.76319421097,166053.0994013147,171983.4592574062,99720.90780841808
2015-02-03,213104.85786899304,MGK,180746.00575038214,168558.35686197612,174492.33932287057,99742.6599445305
2015-02-04,212505.99401336297,MGK,180238.07622228123,167939.05747044072,173897.63402765666,99720.90780841808
2015-02-05,214719.347193873,MGK,182115.34336059316,169599.8758127084,175663.0418677947,99720.90780841808
2015-02-06,213547.50113159005,MGK,181121.43596106232,169628.05058908905,175170.59226410236,99720.90780841808
2015-02-09,212766.37079291974,MGK,180458.9161569765,168868.02091797642,174371.53091094634,99699.08340607274
